bedomare,lagringstid,mognadstid,syre,y
3,190,26,4,
3,190,26,21,
4,190,2,1,1
4,190,2,2,2
4,190,2,4,2
4,190,2,21,3.5
4,190,5,1,2
4,190,5,2,1
4,190,5,4,4
4,190,5,21,4
4,190,9,1,1
4,190,9,2,2
4,190,9,4,1
4,190,9,21,3
4,190,12,1,
4,190,12,2,
4,190,12,4,
4,190,12,21,
4,190,19,1,2.5
4,190,19,2,2.5
4,190,19,4,2.5
4,190,19,21,2.5
4,190,26,1,1
4,190,26,2,1.5
4,190,26,4,3
4,190,26,21,1
5,190,2,1,1.5
5,190,2,2,1.5
5,190,2,4,3.5
5,190,2,21,3
5,190,5,1,
5,190,5,2,
5,190,5,4,
5,190,5,21,
5,190,9,1,2
5,190,9,2,3
5,190,9,4,2
5,190,9,21,3
5,190,12,1,
5,190,12,2,
5,190,12,4,
5,190,12,21,
5,190,19,1,2
5,190,19,2,2
5,190,19,4,2
5,190,19,21,2
5,190,26,1,1
5,190,26,2,1.5
5,190,26,4,2
5,190,26,21,2
6,190,2,1,
6,190,2,2,
6,190,2,4,
6,190,2,21,
6,190,5,1,0
6,190,5,2,2
6,190,5,4,2
6,190,5,21,2.5
6,190,9,1,1.5
6,190,9,2,1
6,190,9,4,3
6,190,9,21,3
6,190,12,1,.5
6,190,12,2,3
6,190,12,4,2.5
6,190,12,21,3
6,190,19,1,
6,190,19,2,
6,190,19,4,
6,190,19,21,
6,190,26,1,
6,190,26,2,
6,190,26,4,
6,190,26,21,
7,190,2,1,1
7,190,2,2,.5
7,190,2,4,2
7,190,2,21,3.5
7,190,5,1,.5
7,190,5,2,.5
7,190,5,4,2
7,190,5,21,3
7,190,9,1,2
7,190,9,2,3.5
7,190,9,4,1
7,190,9,21,3
7,190,12,1,1.5
7,190,12,2,2.5
7,190,12,4,3.5
7,190,12,21,3.5
7,190,19,1,1.5
7,190,19,2,1.5
7,190,19,4,3
7,190,19,21,3
7,190,26,1,2
7,190,26,2,2
7,190,26,4,3
7,190,26,21,2.5
8,190,2,1,.5
8,190,2,2,1
8,190,2,4,3
8,190,2,21,2.5
8,190,5,1,1.5
8,190,5,2,2
8,190,5,4,3.5
8,190,5,21,3.5
8,190,9,1,2
8,190,9,2,3.5
8,190,9,4,3.5
8,190,9,21,3
8,190,12,1,1
8,190,12,2,3.5
8,190,12,4,3.5
8,190,12,21,3
8,190,19,1,2
8,190,19,2,3
8,190,19,4,3
8,190,19,21,3
8,190,26,1,.5
8,190,26,2,1
8,190,26,4,3
8,190,26,21,2
